Date,Production_Line,Shift,Units_Produced,Defective_Units,Downtime_Minutes,Inventory_Level
2024-01-09,Line_C,Shift_3,770,26,31,3797
2024-01-10,Line_A,Shift_1,557,12,36,3074
2024-01-10,Line_A,Shift_2,625,25,39,4680
2024-01-10,Line_A,Shift_3,683,37,78,4067
2024-01-10,Line_B,Shift_1,716,23,13,1546
2024-01-10,Line_B,Shift_2,591,21,53,2243
2024-01-10,Line_B,Shift_3,557,33,55,4444
2024-01-10,Line_C,Shift_1,405,39,114,2060
2024-01-10,Line_C,Shift_2,679,33,55,1180
2024-01-10,Line_C,Shift_3,494,39,69,1992
2024-01-11,Line_A,Shift_1,515,25,41,3006
2024-01-11,Line_A,Shift_2,560,7,27,2816
2024-01-11,Line_A,Shift_3,622,7,113,3733
2024-01-11,Line_B,Shift_1,679,36,56,3901
2024-01-11,Line_B,Shift_2,550,6,36,3537
2024-01-11,Line_B,Shift_3,785,30,26,4175
2024-01-11,Line_C,Shift_1,792,33,51,3806
2024-01-11,Line_C,Shift_2,425,39,59,1920
2024-01-11,Line_C,Shift_3,412,11,66,1035
2024-01-12,Line_A,Shift_1,572,24,74,4847
2024-01-12,Line_A,Shift_2,799,18,85,2906
2024-01-12,Line_A,Shift_3,542,32,107,1833
2024-01-12,Line_B,Shift_1,687,27,72,1853
2024-01-12,Line_B,Shift_2,450,29,67,1574
2024-01-12,Line_B,Shift_3,589,26,67,3617
2024-01-12,Line_C,Shift_1,741,10,24,2077
2024-01-12,Line_C,Shift_2,500,37,17,4124
2024-01-12,Line_C,Shift_3,459,9,112,2219
2024-01-13,Line_A,Shift_1,661,36,103,1046
2024-01-13,Line_A,Shift_2,754,20,22,1369
2024-01-13,Line_A,Shift_3,523,34,28,1656
2024-01-13,Line_B,Shift_1,519,23,101,2081
2024-01-13,Line_B,Shift_2,745,30,71,3838
2024-01-13,Line_B,Shift_3,526,13,21,2012
2024-01-13,Line_C,Shift_1,528,5,43,2119
2024-01-13,Line_C,Shift_2,525,29,113,4308
2024-01-13,Line_C,Shift_3,772,5,25,2212
2024-01-14,Line_A,Shift_1,591,9,31,3908
2024-01-14,Line_A,Shift_2,646,7,85,1153
2024-01-14,Line_A,Shift_3,543,26,66,4356
2024-01-14,Line_B,Shift_1,619,9,56,2008
2024-01-14,Line_B,Shift_2,493,9,85,3959
2024-01-14,Line_B,Shift_3,617,30,57,3388
2024-01-14,Line_C,Shift_1,438,37,103,1356
2024-01-14,Line_C,Shift_2,422,14,78,4171
2024-01-14,Line_C,Shift_3,689,35,19,3809
2024-01-15,Line_A,Shift_1,546,36,10,2015
2024-01-15,Line_A,Shift_2,724,8,25,3839
2024-01-15,Line_A,Shift_3,735,6,101,1895
2024-01-15,Line_B,Shift_1,559,31,93,2687
2024-01-15,Line_B,Shift_2,795,39,42,1956
2024-01-15,Line_B,Shift_3,578,16,76,4648
2024-01-15,Line_C,Shift_1,567,14,52,4627
2024-01-15,Line_C,Shift_2,684,17,21,2630
2024-01-15,Line_C,Shift_3,701,6,44,3774
2024-01-16,Line_A,Shift_1,736,30,17,3652
2024-01-16,Line_A,Shift_2,489,38,114,4974
2024-01-16,Line_A,Shift_3,595,15,38,4447
2024-01-16,Line_B,Shift_1,616,25,45,4465
2024-01-16,Line_B,Shift_2,756,13,33,3239
2024-01-16,Line_B,Shift_3,626,39,45,1977
2024-01-16,Line_C,Shift_1,495,28,32,4261
2024-01-16,Line_C,Shift_2,623,16,64,2548
2024-01-16,Line_C,Shift_3,678,29,108,1872
2024-01-17,Line_A,Shift_1,685,21,71,1595
2024-01-17,Line_A,Shift_2,767,29,95,1396
2024-01-17,Line_A,Shift_3,586,23,58,2635
2024-01-17,Line_B,Shift_1,795,23,85,1264
2024-01-17,Line_B,Shift_2,683,18,104,4455
2024-01-17,Line_B,Shift_3,451,23,25,1884
2024-01-17,Line_C,Shift_1,468,39,21,4096
2024-01-17,Line_C,Shift_2,778,25,109,4636
2024-01-17,Line_C,Shift_3,550,20,66,2062
2024-01-18,Line_A,Shift_1,508,18,104,1633
2024-01-18,Line_A,Shift_2,532,39,96,1732
2024-01-18,Line_A,Shift_3,634,15,27,1750
2024-01-18,Line_B,Shift_1,475,13,83,1953
2024-01-18,Line_B,Shift_2,652,11,55,2676
2024-01-18,Line_B,Shift_3,567,13,59,3842
2024-01-18,Line_C,Shift_1,521,6,14,3076
2024-01-18,Line_C,Shift_2,564,23,17,2519
2024-01-18,Line_C,Shift_3,764,5,95,1499
2024-01-19,Line_A,Shift_1,544,11,98,2324
2024-01-19,Line_A,Shift_2,531,10,40,2810
2024-01-19,Line_A,Shift_3,763,31,83,2881
2024-01-19,Line_B,Shift_1,418,7,54,1652
2024-01-19,Line_B,Shift_2,641,32,67,2683
2024-01-19,Line_B,Shift_3,716,5,12,2996
2024-01-19,Line_C,Shift_1,747,29,65,1928
2024-01-19,Line_C,Shift_2,516,10,67,4627
2024-01-19,Line_C,Shift_3,572,36,54,2852
2024-01-20,Line_A,Shift_1,702,25,89,3933
2024-01-20,Line_A,Shift_2,612,15,110,2699
2024-01-20,Line_A,Shift_3,626,23,29,4512
2024-01-20,Line_B,Shift_1,446,18,24,4486
2024-01-20,Line_B,Shift_2,400,7,25,1470
2024-01-20,Line_B,Shift_3,411,14,105,3831
2024-01-20,Line_C,Shift_1,757,16,33,1667
2024-01-20,Line_C,Shift_2,772,12,101,3723
2024-01-20,Line_C,Shift_3,489,12,67,4387
2024-01-21,Line_A,Shift_1,577,32,101,1868
2024-01-21,Line_A,Shift_2,440,31,72,4216
2024-01-21,Line_A,Shift_3,600,37,93,3508
2024-01-21,Line_B,Shift_1,619,33,22,2581
2024-01-21,Line_B,Shift_2,434,10,91,3930
2024-01-21,Line_B,Shift_3,655,9,56,2944
2024-01-21,Line_C,Shift_1,409,34,118,2028
2024-01-21,Line_C,Shift_2,518,37,74,3193
2024-01-21,Line_C,Shift_3,623,15,94,4353
2024-01-22,Line_A,Shift_1,462,29,95,3874
2024-01-22,Line_A,Shift_2,682,17,42,2633
2024-01-22,Line_A,Shift_3,504,39,10,1404
2024-01-22,Line_B,Shift_1,710,10,101,3000
2024-01-22,Line_B,Shift_2,596,35,14,2893
2024-01-22,Line_B,Shift_3,658,27,110,4636
2024-01-22,Line_C,Shift_1,564,14,83,1082
2024-01-22,Line_C,Shift_2,544,25,87,3504
2024-01-22,Line_C,Shift_3,765,5,60,1684
2024-01-23,Line_A,Shift_1,604,8,71,1448
2024-01-23,Line_A,Shift_2,768,36,43,4419
2024-01-23,Line_A,Shift_3,494,12,48,3201
2024-01-23,Line_B,Shift_1,649,38,63,3165
2024-01-23,Line_B,Shift_2,658,16,74,2077
2024-01-23,Line_B,Shift_3,635,9,103,4805
2024-01-23,Line_C,Shift_1,650,21,56,3966
2024-01-23,Line_C,Shift_2,606,25,23,1577
2024-01-23,Line_C,Shift_3,474,38,47,2329
2024-01-24,Line_A,Shift_1,497,22,39,2358
2024-01-24,Line_A,Shift_2,746,38,61,1248
2024-01-24,Line_A,Shift_3,565,37,97,2358
2024-01-24,Line_B,Shift_1,429,21,14,1796
2024-01-24,Line_B,Shift_2,787,14,65,4472
2024-01-24,Line_B,Shift_3,729,21,93,4031
2024-01-24,Line_C,Shift_1,468,38,15,3100
2024-01-24,Line_C,Shift_2,604,15,32,4254
2024-01-24,Line_C,Shift_3,735,35,84,4445
2024-01-25,Line_A,Shift_1,799,12,13,1359
2024-01-25,Line_A,Shift_2,787,29,76,2887
2024-01-25,Line_A,Shift_3,594,31,102,1671
2024-01-25,Line_B,Shift_1,460,23,30,2028
2024-01-25,Line_B,Shift_2,491,26,30,3885
2024-01-25,Line_B,Shift_3,400,9,114,1523
2024-01-25,Line_C,Shift_1,745,38,58,2101
2024-01-25,Line_C,Shift_2,617,31,82,3841
2024-01-25,Line_C,Shift_3,648,26,65,3397
2024-01-26,Line_A,Shift_1,506,21,35,3851
2024-01-26,Line_A,Shift_2,656,12,108,2276
2024-01-26,Line_A,Shift_3,579,19,56,1638
2024-01-26,Line_B,Shift_1,455,26,23,1473
2024-01-26,Line_B,Shift_2,427,27,87,4287
2024-01-26,Line_B,Shift_3,785,30,23,3746
2024-01-26,Line_C,Shift_1,711,11,12,2646
2024-01-26,Line_C,Shift_2,637,22,47,3786
2024-01-26,Line_C,Shift_3,770,19,73,2654
2024-01-27,Line_A,Shift_1,427,14,48,2976
2024-01-27,Line_A,Shift_2,672,26,99,1125
2024-01-27,Line_A,Shift_3,699,29,26,4596
2024-01-27,Line_B,Shift_1,611,29,77,4465
2024-01-27,Line_B,Shift_2,466,22,109,1110
2024-01-27,Line_B,Shift_3,433,12,49,4440
2024-01-27,Line_C,Shift_1,635,23,51,3472
2024-01-27,Line_C,Shift_2,500,10,61,2305
2024-01-27,Line_C,Shift_3,719,38,68,2975
2024-01-28,Line_A,Shift_1,714,10,110,4448
2024-01-28,Line_A,Shift_2,688,26,30,2733
2024-01-28,Line_A,Shift_3,469,8,103,3890
2024-01-28,Line_B,Shift_1,717,34,104,4735
2024-01-28,Line_B,Shift_2,710,13,12,1242
2024-01-28,Line_B,Shift_3,430,28,104,1005
2024-01-28,Line_C,Shift_1,721,24,101,1074
2024-01-28,Line_C,Shift_2,403,19,15,1117
2024-01-28,Line_C,Shift_3,768,34,111,1946
2024-01-29,Line_A,Shift_1,461,6,88,3762
2024-01-29,Line_A,Shift_2,791,30,60,3220
2024-01-29,Line_A,Shift_3,699,9,79,2433
2024-01-29,Line_B,Shift_1,517,8,28,1723
2024-01-29,Line_B,Shift_2,624,24,21,1558
2024-01-29,Line_B,Shift_3,400,30,23,1319
2024-01-29,Line_C,Shift_1,437,15,109,3892
2024-01-29,Line_C,Shift_2,658,37,15,1689
2024-01-29,Line_C,Shift_3,409,9,32,2673
2024-01-30,Line_A,Shift_1,571,6,22,2191
2024-01-30,Line_A,Shift_2,529,24,74,2342
2024-01-30,Line_A,Shift_3,500,13,26,3824
2024-01-30,Line_B,Shift_1,798,28,47,3038
2024-01-30,Line_B,Shift_2,493,35,58,2604
2024-01-30,Line_B,Shift_3,717,18,84,2160
2024-01-30,Line_C,Shift_1,475,39,44,3560
2024-01-30,Line_C,Shift_2,695,26,69,2855
2024-01-30,Line_C,Shift_3,748,12,20,1872
2024-01-31,Line_A,Shift_1,628,18,69,3845
2024-01-31,Line_A,Shift_2,690,25,46,3052
2024-01-31,Line_A,Shift_3,738,18,35,3621
2024-01-31,Line_B,Shift_1,531,29,118,2065
2024-01-31,Line_B,Shift_2,488,22,49,2863
2024-01-31,Line_B,Shift_3,694,18,41,4762
2024-01-31,Line_C,Shift_1,524,37,32,1574
2024-01-31,Line_C,Shift_2,542,37,34,3192
2024-01-31,Line_C,Shift_3,624,6,87,1820
2024-02-01,Line_A,Shift_1,503,10,15,3626
2024-02-01,Line_A,Shift_2,790,12,51,2471
2024-02-01,Line_A,Shift_3,414,33,42,3035
2024-02-01,Line_B,Shift_1,630,31,45,3204
2024-02-01,Line_B,Shift_2,437,37,110,4482
2024-02-01,Line_B,Shift_3,688,8,95,2857
2024-02-01,Line_C,Shift_1,409,9,83,3912
2024-02-01,Line_C,Shift_2,517,17,40,1814
2024-02-01,Line_C,Shift_3,627,28,61,4767
2024-02-02,Line_A,Shift_1,414,33,17,4332
2024-02-02,Line_A,Shift_2,556,8,85,4756
2024-02-02,Line_A,Shift_3,529,31,104,3674
2024-02-02,Line_B,Shift_1,642,30,52,4354
2024-02-02,Line_B,Shift_2,468,24,20,4325
2024-02-02,Line_B,Shift_3,729,10,81,3070
2024-02-02,Line_C,Shift_1,702,30,55,1362
2024-02-02,Line_C,Shift_2,795,30,22,4687
2024-02-02,Line_C,Shift_3,609,29,106,4694
2024-02-03,Line_A,Shift_1,503,16,117,1355
2024-02-03,Line_A,Shift_2,723,9,46,2863
2024-02-03,Line_A,Shift_3,526,32,40,4449
2024-02-03,Line_B,Shift_1,792,33,87,4367
2024-02-03,Line_B,Shift_2,696,26,20,2430
2024-02-03,Line_B,Shift_3,656,25,99,2645
2024-02-03,Line_C,Shift_1,581,27,66,4072
2024-02-03,Line_C,Shift_2,718,19,30,4502
2024-02-03,Line_C,Shift_3,708,13,83,4507
2024-02-04,Line_A,Shift_1,712,30,50,4874
2024-02-04,Line_A,Shift_2,462,29,99,3122
2024-02-04,Line_A,Shift_3,693,6,16,4281
2024-02-04,Line_B,Shift_1,746,21,52,1954
2024-02-04,Line_B,Shift_2,763,28,34,2990
2024-02-04,Line_B,Shift_3,579,10,97,2184
2024-02-04,Line_C,Shift_1,576,33,72,2002
2024-02-04,Line_C,Shift_2,549,30,37,4953
2024-02-04,Line_C,Shift_3,448,11,90,2107
2024-02-05,Line_A,Shift_1,760,24,95,3523
2024-02-05,Line_A,Shift_2,462,11,10,2759
2024-02-05,Line_A,Shift_3,540,34,96,3482
2024-02-05,Line_B,Shift_1,778,23,71,3079
2024-02-05,Line_B,Shift_2,557,33,58,1428
2024-02-05,Line_B,Shift_3,685,20,49,4090
2024-02-05,Line_C,Shift_1,417,5,87,2394
2024-02-05,Line_C,Shift_2,574,6,101,2136
2024-02-05,Line_C,Shift_3,513,34,47,1946
2024-02-06,Line_A,Shift_1,718,8,10,4335
2024-02-06,Line_A,Shift_2,454,7,41,1777
2024-02-06,Line_A,Shift_3,765,38,106,3134
2024-02-06,Line_B,Shift_1,454,32,41,2201
2024-02-06,Line_B,Shift_2,790,33,17,1832
2024-02-06,Line_B,Shift_3,712,7,97,3006
2024-02-06,Line_C,Shift_1,654,12,63,3808
2024-02-06,Line_C,Shift_2,638,7,60,4680
2024-02-06,Line_C,Shift_3,491,12,43,4874
2024-02-07,Line_A,Shift_1,495,28,87,2311
2024-02-07,Line_A,Shift_2,519,20,77,2523
2024-02-07,Line_A,Shift_3,564,25,23,3782
2024-02-07,Line_B,Shift_1,710,22,16,1329
2024-02-07,Line_B,Shift_2,662,37,32,4156
2024-02-07,Line_B,Shift_3,546,23,45,2308
2024-02-07,Line_C,Shift_1,587,22,11,2920
2024-02-07,Line_C,Shift_2,702,9,29,4594
2024-02-07,Line_C,Shift_3,633,6,76,1470
2024-02-08,Line_A,Shift_1,518,16,29,3308
2024-02-08,Line_A,Shift_2,692,34,18,4297
2024-02-08,Line_A,Shift_3,452,39,95,2387
2024-02-08,Line_B,Shift_1,679,21,83,4229
2024-02-08,Line_B,Shift_2,519,27,105,3768
2024-02-08,Line_B,Shift_3,769,21,23,1520
2024-02-08,Line_C,Shift_1,439,6,118,2304
2024-02-08,Line_C,Shift_2,758,13,31,4306
2024-02-08,Line_C,Shift_3,403,30,67,3076
2024-02-09,Line_A,Shift_1,508,38,96,1804
2024-02-09,Line_A,Shift_2,474,10,27,3175
2024-02-09,Line_A,Shift_3,740,38,26,2700
2024-02-09,Line_B,Shift_1,552,16,96,4700
2024-02-09,Line_B,Shift_2,761,26,94,3074
2024-02-09,Line_B,Shift_3,712,35,15,1730
2024-02-09,Line_C,Shift_1,567,38,21,2772
2024-02-09,Line_C,Shift_2,708,11,19,2708
2024-02-09,Line_C,Shift_3,589,6,63,2386
2024-02-10,Line_A,Shift_1,592,30,38,1148
2024-02-10,Line_A,Shift_2,666,15,45,2136
2024-02-10,Line_A,Shift_3,586,39,63,1097
2024-02-10,Line_B,Shift_1,454,28,31,3116
2024-02-10,Line_B,Shift_2,711,37,45,1750
2024-02-10,Line_B,Shift_3,547,23,108,4315
2024-02-10,Line_C,Shift_1,736,38,82,1153
2024-02-10,Line_C,Shift_2,472,13,49,2040
2024-02-10,Line_C,Shift_3,528,29,70,1938
2024-02-11,Line_A,Shift_1,503,29,48,4874
2024-02-11,Line_A,Shift_2,530,34,111,3913
2024-02-11,Line_A,Shift_3,411,23,110,4115
2024-02-11,Line_B,Shift_1,704,21,83,4640
2024-02-11,Line_B,Shift_2,710,16,71,4663
2024-02-11,Line_B,Shift_3,615,23,17,3708
2024-02-11,Line_C,Shift_1,480,27,110,3421
2024-02-11,Line_C,Shift_2,597,12,34,3513
2024-02-11,Line_C,Shift_3,488,16,24,4642
2024-02-12,Line_A,Shift_1,764,30,56,4359
2024-02-12,Line_A,Shift_2,665,20,80,1400
2024-02-12,Line_A,Shift_3,681,25,95,1249
2024-02-12,Line_B,Shift_1,790,18,88,1628
2024-02-12,Line_B,Shift_2,406,13,57,4911
2024-02-12,Line_B,Shift_3,714,27,102,3641
2024-02-12,Line_C,Shift_1,622,34,48,4042
2024-02-12,Line_C,Shift_2,502,21,23,2182
2024-02-12,Line_C,Shift_3,551,39,117,3235
2024-02-13,Line_A,Shift_1,700,38,12,3852
2024-02-13,Line_A,Shift_2,570,30,64,4030
2024-02-13,Line_A,Shift_3,763,19,13,2372
2024-02-13,Line_B,Shift_1,796,22,42,1015
2024-02-13,Line_B,Shift_2,507,6,64,1738
2024-02-13,Line_B,Shift_3,569,38,39,1250
2024-02-13,Line_C,Shift_1,646,17,22,2297
2024-02-13,Line_C,Shift_2,495,39,48,1813
2024-02-13,Line_C,Shift_3,428,33,71,1244
2024-02-14,Line_A,Shift_1,635,20,65,2771
2024-02-14,Line_A,Shift_2,638,14,39,1920
2024-02-14,Line_A,Shift_3,758,24,14,3624
2024-02-14,Line_B,Shift_1,576,7,54,2165
2024-02-14,Line_B,Shift_2,775,34,77,1145
2024-02-14,Line_B,Shift_3,692,29,57,1704
2024-02-14,Line_C,Shift_1,472,19,58,4960
2024-02-14,Line_C,Shift_2,743,8,21,3234
2024-02-14,Line_C,Shift_3,692,10,48,2463
2024-02-15,Line_A,Shift_1,718,28,20,2085
2024-02-15,Line_A,Shift_2,732,38,34,4782
2024-02-15,Line_A,Shift_3,451,8,68,2607
2024-02-15,Line_B,Shift_1,547,33,72,2333
2024-02-15,Line_B,Shift_2,772,14,116,1225
2024-02-15,Line_B,Shift_3,712,30,50,3800
2024-02-15,Line_C,Shift_1,658,10,14,2796
2024-02-15,Line_C,Shift_2,453,27,58,2544
2024-02-15,Line_C,Shift_3,498,24,70,2914
2024-02-16,Line_A,Shift_1,577,22,71,4216
2024-02-16,Line_A,Shift_2,615,7,41,4810
2024-02-16,Line_A,Shift_3,668,29,82,1579
2024-02-16,Line_B,Shift_1,797,38,20,2640
2024-02-16,Line_B,Shift_2,722,32,38,4720
2024-02-16,Line_B,Shift_3,594,29,107,2355
2024-02-16,Line_C,Shift_1,569,13,88,1039
2024-02-16,Line_C,Shift_2,424,9,20,1954
2024-02-16,Line_C,Shift_3,625,28,88,1037
2024-02-17,Line_A,Shift_1,727,9,57,2625
2024-02-17,Line_A,Shift_2,436,17,37,1972
2024-02-17,Line_A,Shift_3,480,36,71,3396
2024-02-17,Line_B,Shift_1,514,7,65,4111
2024-02-17,Line_B,Shift_2,753,31,86,2772
2024-02-17,Line_B,Shift_3,688,10,97,4218
2024-02-17,Line_C,Shift_1,735,32,106,3618
2024-02-17,Line_C,Shift_2,458,17,116,3604
2024-02-17,Line_C,Shift_3,744,31,47,1699
2024-02-18,Line_A,Shift_1,406,9,116,1556
2024-02-18,Line_A,Shift_2,713,35,32,1425
2024-02-18,Line_A,Shift_3,793,36,116,4508
2024-02-18,Line_B,Shift_1,557,35,91,3403
2024-02-18,Line_B,Shift_2,657,18,86,3012
2024-02-18,Line_B,Shift_3,411,6,105,2548
2024-02-18,Line_C,Shift_1,445,31,114,3064
2024-02-18,Line_C,Shift_2,759,35,107,1699
2024-02-18,Line_C,Shift_3,743,39,79,3514
2024-02-19,Line_A,Shift_1,473,36,107,4902
2024-02-19,Line_A,Shift_2,459,19,103,3084
2024-02-19,Line_A,Shift_3,677,8,29,2887
2024-02-19,Line_B,Shift_1,641,8,100,3239
2024-02-19,Line_B,Shift_2,416,16,31,3448
2024-02-19,Line_B,Shift_3,793,5,31,1473
2024-02-19,Line_C,Shift_1,519,22,59,4341
2024-02-19,Line_C,Shift_2,591,33,85,4747
2024-02-19,Line_C,Shift_3,650,39,61,3428
2024-02-20,Line_A,Shift_1,406,33,20,4104
2024-02-20,Line_A,Shift_2,533,19,41,3994
2024-02-20,Line_A,Shift_3,457,27,35,4553
2024-02-20,Line_B,Shift_1,625,33,13,3000
2024-02-20,Line_B,Shift_2,498,17,114,1038
2024-02-20,Line_B,Shift_3,670,33,38,2098
2024-02-20,Line_C,Shift_1,771,36,11,2710
2024-02-20,Line_C,Shift_2,483,26,84,2562
2024-02-20,Line_C,Shift_3,594,21,117,4511
2024-02-21,Line_A,Shift_1,491,33,30,3350
2024-02-21,Line_A,Shift_2,756,24,15,2682
2024-02-21,Line_A,Shift_3,786,5,67,4963
2024-02-21,Line_B,Shift_1,414,38,70,4234
2024-02-21,Line_B,Shift_2,719,29,33,4595
2024-02-21,Line_B,Shift_3,673,19,117,3255
2024-02-21,Line_C,Shift_1,426,12,69,3477
2024-02-21,Line_C,Shift_2,544,33,62,1519
2024-02-21,Line_C,Shift_3,478,31,55,4633
2024-02-22,Line_A,Shift_1,598,7,102,1959
2024-02-22,Line_A,Shift_2,580,28,69,1377
2024-02-22,Line_A,Shift_3,786,24,55,1526
2024-02-22,Line_B,Shift_1,552,34,87,3502
2024-02-22,Line_B,Shift_2,672,24,109,1520
2024-02-22,Line_B,Shift_3,565,26,11,2367
2024-02-22,Line_C,Shift_1,471,15,73,4788
2024-02-22,Line_C,Shift_2,608,12,30,1273
2024-02-22,Line_C,Shift_3,719,22,119,4566
2024-02-23,Line_A,Shift_1,494,36,20,2324
2024-02-23,Line_A,Shift_2,616,37,111,4496
2024-02-23,Line_A,Shift_3,791,15,95,4762
2024-02-23,Line_B,Shift_1,487,21,85,3936
2024-02-23,Line_B,Shift_2,445,36,88,1591
2024-02-23,Line_B,Shift_3,709,26,101,4731
2024-02-23,Line_C,Shift_1,560,14,49,2951
2024-02-23,Line_C,Shift_2,641,37,11,3272
2024-02-23,Line_C,Shift_3,688,17,39,3636
2024-02-24,Line_A,Shift_1,515,30,31,4174
2024-02-24,Line_A,Shift_2,593,30,55,3169
2024-02-24,Line_A,Shift_3,542,38,115,1886
2024-02-24,Line_B,Shift_1,704,15,70,2986
2024-02-24,Line_B,Shift_2,522,10,18,3821
2024-02-24,Line_B,Shift_3,472,35,41,1552
2024-02-24,Line_C,Shift_1,769,16,17,4911
2024-02-24,Line_C,Shift_2,577,32,71,2107
2024-02-24,Line_C,Shift_3,717,11,84,2107
2024-02-25,Line_A,Shift_1,607,8,15,4385
2024-02-25,Line_A,Shift_2,421,30,12,4198
2024-02-25,Line_A,Shift_3,696,18,84,4025
2024-02-25,Line_B,Shift_1,411,27,21,3956
2024-02-25,Line_B,Shift_2,424,23,64,1749
2024-02-25,Line_B,Shift_3,755,12,102,4702
2024-02-25,Line_C,Shift_1,708,36,60,4883
2024-02-25,Line_C,Shift_2,481,10,27,4794
2024-02-25,Line_C,Shift_3,549,36,65,3920
2024-02-26,Line_A,Shift_1,458,7,37,2737
2024-02-26,Line_A,Shift_2,642,39,70,3140
2024-02-26,Line_A,Shift_3,606,37,16,2355
2024-02-26,Line_B,Shift_1,704,34,94,1158
2024-02-26,Line_B,Shift_2,423,24,46,1515
2024-02-26,Line_B,Shift_3,619,24,69,3199
2024-02-26,Line_C,Shift_1,449,36,114,3467
2024-02-26,Line_C,Shift_2,649,38,109,3625
2024-02-26,Line_C,Shift_3,734,38,45,2797
2024-02-27,Line_A,Shift_1,694,16,12,4308
2024-02-27,Line_A,Shift_2,417,25,24,4808
